,loss,params,iteration,estimators,time
43,0.23994126146969286,"{'class_weight': 'balanced', 'boosting_type': 'goss', 'num_leaves': 61, 'learning_rate': 0.027943272602300912, 'subsample_for_bin': 220000, 'min_child_samples': 460, 'reg_alpha': 0.7142857142857142, 'reg_lambda': 0.673469387755102, 'colsample_bytree': 0.6444444444444444, 'subsample': 1.0}",31,31,1.0265076659999863
44,0.23995829549209824,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 85, 'learning_rate': 0.014481886418058792, 'subsample_for_bin': 260000, 'min_child_samples': 485, 'reg_alpha': 0.44897959183673464, 'reg_lambda': 0.44897959183673464, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.6212121212121212}",186,86,1.3591480860000047
45,0.24000616131372277,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.012632507993991704, 'subsample_for_bin': 180000, 'min_child_samples': 245, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.6565656565656566}",38,88,1.5425402650000137
46,0.24003013136959228,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 53, 'learning_rate': 0.09451185205828212, 'subsample_for_bin': 160000, 'min_child_samples': 265, 'reg_alpha': 0.6122448979591836, 'reg_lambda': 0.42857142857142855, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.893939393939394}",181,26,1.387050750999947
47,0.24008005727010906,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 85, 'learning_rate': 0.02126210003400329, 'subsample_for_bin': 200000, 'min_child_samples': 240, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.5714285714285714, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.5050505050505051}",400,100,1.6194753639999817
48,0.2400824484306059,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 35, 'learning_rate': 0.09698664119932507, 'subsample_for_bin': 260000, 'min_child_samples': 265, 'reg_alpha': 0.5306122448979591, 'reg_lambda': 0.9183673469387754, 'colsample_bytree': 1.0, 'subsample': 0.8282828282828283}",499,31,1.5956023530000039
49,0.24011887511646735,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 40, 'learning_rate': 0.09591817970764478, 'subsample_for_bin': 280000, 'min_child_samples': 375, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 0.2040816326530612, 'colsample_bytree': 0.6, 'subsample': 0.7676767676767677}",324,26,1.1732295919999842
50,0.24012270077702413,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 38, 'learning_rate': 0.02975360202281891, 'subsample_for_bin': 160000, 'min_child_samples': 475, 'reg_alpha': 0.9183673469387754, 'reg_lambda': 0.4693877551020408, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.5454545454545454}",251,67,2.0548770130000094
51,0.2401379765066063,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 82, 'learning_rate': 0.008667939849965027, 'subsample_for_bin': 240000, 'min_child_samples': 220, 'reg_alpha': 0.0, 'reg_lambda': 0.04081632653061224, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.5252525252525253}",213,100,1.7392132659999788
52,0.24014350789622607,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 88, 'learning_rate': 0.061583063540367876, 'subsample_for_bin': 40000, 'min_child_samples': 355, 'reg_alpha': 0.4897959183673469, 'reg_lambda': 0.8979591836734693, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.9848484848484849}",140,92,2.1010965220000344
53,0.24016328574691725,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 140, 'learning_rate': 0.020116443522038775, 'subsample_for_bin': 100000, 'min_child_samples': 300, 'reg_alpha': 0.42857142857142855, 'reg_lambda': 0.36734693877551017, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.696969696969697}",234,98,1.5201626150000038
54,0.24021262265297905,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 117, 'learning_rate': 0.028254541131562887, 'subsample_for_bin': 220000, 'min_child_samples': 365, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.5050505050505051}",344,99,2.1244213729999046
55,0.24024253886157942,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 70, 'learning_rate': 0.015941177296637712, 'subsample_for_bin': 160000, 'min_child_samples': 410, 'reg_alpha': 0.7346938775510203, 'reg_lambda': 0.4693877551020408, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.9696969696969697}",387,98,1.1487577960000408
56,0.24025277547867785,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 144, 'learning_rate': 0.03215262878550817, 'subsample_for_bin': 260000, 'min_child_samples': 245, 'reg_alpha': 0.12244897959183673, 'reg_lambda': 0.24489795918367346, 'colsample_bytree': 0.7333333333333333, 'subsample': 1.0}",171,31,1.20251646600002
57,0.24027186593555483,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 104, 'learning_rate': 0.01605934097818438, 'subsample_for_bin': 280000, 'min_child_samples': 425, 'reg_alpha': 0.8775510204081632, 'reg_lambda': 0.6122448979591836, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6111111111111112}",227,99,1.1414828339999303
58,0.24029307366069497,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 112, 'learning_rate': 0.032034121820294637, 'subsample_for_bin': 180000, 'min_child_samples': 470, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.5510204081632653, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.5707070707070707}",432,38,1.2004263470000751
59,0.24040591740105477,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 68, 'learning_rate': 0.009127822372082045, 'subsample_for_bin': 140000, 'min_child_samples': 145, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 0.8571428571428571, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.5050505050505051}",14,90,1.5848521710000227
60,0.2404257961741656,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 105, 'learning_rate': 0.02473753188230597, 'subsample_for_bin': 160000, 'min_child_samples': 480, 'reg_alpha': 0.4897959183673469, 'reg_lambda': 0.22448979591836732, 'colsample_bytree': 0.8666666666666667, 'subsample': 1.0}",59,36,1.096431698999993
61,0.24043859888395502,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 107, 'learning_rate': 0.02733098511444611, 'subsample_for_bin': 20000, 'min_child_samples': 400, 'reg_alpha': 1.0, 'reg_lambda': 0.9795918367346939, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.5858585858585859}",62,61,1.2714436339999793
62,0.24046041718973443,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 97, 'learning_rate': 0.007422701832211806, 'subsample_for_bin': 160000, 'min_child_samples': 470, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 0.8775510204081632, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.6060606060606061}",61,60,2.081138371999998
63,0.24047064007017027,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 44, 'learning_rate': 0.015941177296637712, 'subsample_for_bin': 120000, 'min_child_samples': 370, 'reg_alpha': 0.8571428571428571, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.6515151515151515}",350,100,1.200062838000008
64,0.24047486661700535,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 67, 'learning_rate': 0.12375242573427632, 'subsample_for_bin': 40000, 'min_child_samples': 480, 'reg_alpha': 0.6938775510204082, 'reg_lambda': 0.061224489795918366, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.7373737373737375}",470,11,1.3293248289999156
65,0.2404836399991881,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 148, 'learning_rate': 0.033983761038311154, 'subsample_for_bin': 20000, 'min_child_samples': 355, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.4693877551020408, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.9191919191919192}",476,92,1.293229694999809
66,0.24049756252732624,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 54, 'learning_rate': 0.04989447547573647, 'subsample_for_bin': 160000, 'min_child_samples': 395, 'reg_alpha': 0.2040816326530612, 'reg_lambda': 0.6122448979591836, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.5606060606060606}",201,37,1.3676888200000121
67,0.24051689197409964,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 141, 'learning_rate': 0.06461136515776175, 'subsample_for_bin': 20000, 'min_child_samples': 475, 'reg_alpha': 0.9591836734693877, 'reg_lambda': 0.673469387755102, 'colsample_bytree': 0.6, 'subsample': 0.8838383838383839}",256,17,1.8845476369999687
68,0.24054277016455183,"{'class_weight': None, 'boosting_type': 'dart', 'num_leaves': 61, 'learning_rate': 0.028887518755219454, 'subsample_for_bin': 180000, 'min_child_samples': 470, 'reg_alpha': 0.7959183673469387, 'reg_lambda': 0.12244897959183673, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.7373737373737375}",75,66,2.200393044000009
69,0.24054756341880756,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 110, 'learning_rate': 0.013059379865615542, 'subsample_for_bin': 140000, 'min_child_samples': 395, 'reg_alpha': 0.7959183673469387, 'reg_lambda': 0.08163265306122448, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.7575757575757576}",407,100,1.2539477399999441
70,0.24056799165842557,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 143, 'learning_rate': 0.005443199705065208, 'subsample_for_bin': 220000, 'min_child_samples': 175, 'reg_alpha': 0.04081632653061224, 'reg_lambda': 0.6530612244897959, 'colsample_bytree': 0.6888888888888889, 'subsample': 1.0}",232,94,1.883120315000042
71,0.24057975767069262,"{'class_weight': 'balanced', 'boosting_type': 'goss', 'num_leaves': 53, 'learning_rate': 0.010234832826887624, 'subsample_for_bin': 40000, 'min_child_samples': 300, 'reg_alpha': 0.22448979591836732, 'reg_lambda': 0.12244897959183673, 'colsample_bytree': 0.8222222222222222, 'subsample': 1.0}",425,98,1.5594979039999544
72,0.24059694854335878,"{'class_weight': 'balanced', 'boosting_type': 'dart', 'num_leaves': 65, 'learning_rate': 0.014216962526570596, 'subsample_for_bin': 160000, 'min_child_samples': 220, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 1.0, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.696969696969697}",354,100,2.6951666939999086
