,learning rate,hidden layers,input layer nodes,hidden layer nodes,activation function,batch size,accuracy
36,0.014216962526570596,4,392,1,sigmoid,72,0.3253333270549774
37,0.16384460974999643,1,412,6,sigmoid,124,0.09966666996479034
38,0.011820167638891784,4,202,25,relu,68,0.9702222347259521
39,0.015882421897321582,4,62,6,relu,120,0.9514444470405579
40,0.09176075208743704,3,260,7,relu,30,0.09933333098888397
41,0.010310698335710172,4,148,23,sigmoid,82,0.9681110978126526
42,0.056152577814225196,1,112,2,sigmoid,4,0.10633333027362823
43,0.010425552309770318,1,116,5,relu,91,0.9653333425521851
44,0.1103672311333934,4,62,9,sigmoid,124,0.109333336353302
45,0.01110098085889354,2,186,27,sigmoid,80,0.9750000238418579
46,0.006194161098119677,1,484,3,sigmoid,52,0.9685555696487427
47,0.05293111954843996,1,24,13,sigmoid,77,0.9359999895095825
48,0.016298302492071925,4,400,4,sigmoid,60,0.109333336353302
49,0.012679240668413106,4,322,23,relu,102,0.9623333215713501
50,0.08305352042021888,1,484,8,relu,69,0.10633333027362823
51,0.005149906136788399,4,150,26,sigmoid,68,0.9728888869285583
52,0.0624994138509709,4,374,18,sigmoid,68,0.09933333098888397
53,0.008894909515131234,2,20,17,relu,51,0.9423333406448364
54,0.021340757003694276,3,174,22,sigmoid,44,0.9444444179534912
55,0.016178380545832607,3,158,16,relu,111,0.9701111316680908
56,0.0074777224721053435,1,460,24,sigmoid,70,0.9758889079093933
57,0.14451322534564692,4,210,16,relu,55,0.0958888903260231
58,0.011060065275870543,2,324,19,sigmoid,107,0.972777783870697
59,0.1095551555712299,4,336,11,relu,43,0.0958888903260231
60,0.012632507993991704,2,510,8,sigmoid,1,0.0958888903260231
61,0.09486148901187084,3,128,4,sigmoid,94,0.5569999814033508
62,0.06389956861813231,4,172,17,sigmoid,58,0.109333336353302
63,0.014535460679266851,4,474,21,relu,125,0.9711111187934875
64,0.12746267534627995,2,290,14,sigmoid,99,0.109333336353302
65,0.02846397739454339,3,144,12,sigmoid,84,0.9266666769981384
66,0.006148584826936363,4,176,22,relu,13,0.9664444327354431
67,0.005860403802891585,3,316,21,sigmoid,8,0.9677777886390686
68,0.018753468046486473,4,92,9,sigmoid,64,0.9558888673782349
69,0.1183885650523541,3,502,7,relu,115,0.0958888903260231
70,0.01605934097818438,1,338,11,relu,93,0.9678888916969299
71,0.020116443522038775,3,444,2,sigmoid,10,0.2025555521249771
72,0.005245871303187837,4,34,19,sigmoid,51,0.9576666951179504
73,0.16324071737162832,1,338,27,relu,64,0.09933333098888397
74,0.06630321122148913,4,86,18,relu,30,0.109333336353302
75,0.014589233132988022,1,362,2,sigmoid,112,0.9440000057220459
76,0.1477507098101902,4,386,14,sigmoid,69,0.09966666996479034
77,0.011907784412654472,1,474,6,relu,105,0.9697777628898621
78,0.015194022475304051,3,472,23,sigmoid,47,0.9578889012336731
79,0.07974762271777591,2,302,15,sigmoid,111,0.21033333241939545
80,0.02165830550135906,2,320,15,sigmoid,51,0.9463333487510681
81,0.04352280787931705,3,482,25,relu,95,0.10633333027362823
82,0.11159664496056187,2,264,16,sigmoid,77,0.20399999618530273
83,0.040874704315014034,2,50,25,relu,71,0.8973333239555359
84,0.020265556287172585,1,144,4,sigmoid,67,0.9577777981758118
85,0.022225427381851903,2,148,4,sigmoid,101,0.9508888721466064
86,0.007874457328332661,3,256,6,relu,99,0.9682222008705139
87,0.005168957689093439,1,128,1,relu,69,0.6221110820770264
88,0.15790486901843698,4,168,18,sigmoid,102,0.109333336353302
89,0.009436265526970512,1,280,26,sigmoid,106,0.9765555262565613
90,0.14186957762428806,3,374,24,relu,92,0.10633333027362823
91,0.05254165549990104,4,222,25,relu,67,0.109333336353302
92,0.005093171762601568,3,302,14,sigmoid,127,0.9762222170829773
93,0.07572973801611271,4,92,13,relu,58,0.09966666996479034
94,0.017874502597014043,1,374,10,sigmoid,44,0.9403333067893982
95,0.039247710174376206,1,454,16,relu,116,0.10633333027362823
96,0.1596638189110357,2,88,21,sigmoid,120,0.10022222250699997
97,0.010619825726729542,4,26,27,sigmoid,18,0.9584444165229797
98,0.07657331437558784,2,22,18,sigmoid,104,0.9007777571678162
99,0.020265556287172585,4,166,15,sigmoid,66,0.9446666836738586
