loss,params,iteration,estimators,train_time
0.23827223648903917,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8092562140482292, 'learning_rate': 0.010083968554115674, 'min_child_samples': 235, 'num_leaves': 126, 'reg_alpha': 0.6953104553581401, 'reg_lambda': 0.9134261085447739, 'subsample_for_bin': 100000, 'subsample': 0.6093283866025503}",32,276,14.168172169999707
0.2716960071502412,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6041487202225502, 'learning_rate': 0.032165738076614714, 'min_child_samples': 30, 'num_leaves': 136, 'reg_alpha': 0.35375732853963393, 'reg_lambda': 0.8306957320029603, 'subsample_for_bin': 140000, 'subsample': 0.7147552596862062}",33,23,23.656378590999793
0.24432751957586574,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7110939145783701, 'learning_rate': 0.02161028532312041, 'min_child_samples': 305, 'num_leaves': 97, 'reg_alpha': 0.48315792036661437, 'reg_lambda': 0.6209518820863753, 'subsample_for_bin': 20000, 'subsample': 1.0}",34,45,9.201415661999818
0.24156670702815874,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9273992011715522, 'learning_rate': 0.01550591881072469, 'min_child_samples': 345, 'num_leaves': 125, 'reg_alpha': 0.1439417824624653, 'reg_lambda': 0.99802882906986, 'subsample_for_bin': 160000, 'subsample': 0.9425942280059318}",35,328,14.143650947999959
0.243320862312552,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7478112688985734, 'learning_rate': 0.012987475796532007, 'min_child_samples': 140, 'num_leaves': 108, 'reg_alpha': 0.2699056807787854, 'reg_lambda': 0.5081054591547158, 'subsample_for_bin': 120000, 'subsample': 0.8168333809345203}",36,79,16.742408662000344
0.24344900813445924,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6155506874684642, 'learning_rate': 0.03095283367635528, 'min_child_samples': 200, 'num_leaves': 56, 'reg_alpha': 0.21038685544896532, 'reg_lambda': 0.21619539648051628, 'subsample_for_bin': 40000, 'subsample': 1.0}",37,12,10.008550837999792
0.23740408978013616,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6528179624127117, 'learning_rate': 0.04468187040608295, 'min_child_samples': 250, 'num_leaves': 42, 'reg_alpha': 0.3862656305677469, 'reg_lambda': 0.7499683127880179, 'subsample_for_bin': 100000, 'subsample': 0.5788942713886395}",38,66,12.5482558839999
0.2417827170300193,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6962098389807864, 'learning_rate': 0.06678938589544593, 'min_child_samples': 450, 'num_leaves': 75, 'reg_alpha': 0.5335567810352808, 'reg_lambda': 0.9170369374731135, 'subsample_for_bin': 120000, 'subsample': 0.7159508395733235}",39,12,10.960921031999987
0.24633882406430063,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8191428348113317, 'learning_rate': 0.01769923802215285, 'min_child_samples': 155, 'num_leaves': 107, 'reg_alpha': 0.6608224216655061, 'reg_lambda': 0.8166011572761839, 'subsample_for_bin': 140000, 'subsample': 1.0}",40,55,10.609992874
0.24016585240028832,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7877532712872555, 'learning_rate': 0.04803872724503301, 'min_child_samples': 395, 'num_leaves': 121, 'reg_alpha': 0.305726277037294, 'reg_lambda': 0.6387659768683706, 'subsample_for_bin': 260000, 'subsample': 0.9343166869663273}",41,42,12.14623087100017
0.2395951935865821,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7313965175642514, 'learning_rate': 0.0225765097121906, 'min_child_samples': 205, 'num_leaves': 39, 'reg_alpha': 0.4364301940911577, 'reg_lambda': 0.9950956223626637, 'subsample_for_bin': 180000, 'subsample': 0.8018760482285344}",42,111,14.155035194999982
0.2401385270944738,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6262016243334826, 'learning_rate': 0.011371039178782006, 'min_child_samples': 345, 'num_leaves': 143, 'reg_alpha': 0.059508331440724094, 'reg_lambda': 0.5118216271894045, 'subsample_for_bin': 60000, 'subsample': 0.7173210155681875}",43,250,11.926862832000097
0.24228165056038287,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6528382643004896, 'learning_rate': 0.030919749204969923, 'min_child_samples': 290, 'num_leaves': 95, 'reg_alpha': 0.15506131715727017, 'reg_lambda': 0.37974048170623537, 'subsample_for_bin': 200000, 'subsample': 1.0}",44,31,9.104043141999682
0.2412024140979201,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6881881427557607, 'learning_rate': 0.040969016376253976, 'min_child_samples': 175, 'num_leaves': 53, 'reg_alpha': 0.11022299834122189, 'reg_lambda': 0.2318046030078441, 'subsample_for_bin': 220000, 'subsample': 0.5774746966364601}",45,12,14.869383533000018
0.24611290642439598,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6615413139077616, 'learning_rate': 0.05690869424225061, 'min_child_samples': 110, 'num_leaves': 88, 'reg_alpha': 0.20953636140629578, 'reg_lambda': 0.7363161344360872, 'subsample_for_bin': 80000, 'subsample': 0.9205770828596033}",46,10,16.63571704600008
0.23579590686139007,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6042221307337897, 'learning_rate': 0.01663638915056658, 'min_child_samples': 245, 'num_leaves': 74, 'reg_alpha': 0.3158605149010763, 'reg_lambda': 0.905233649997393, 'subsample_for_bin': 40000, 'subsample': 0.6142417338597783}",47,493,99.85574656900008
0.23843444629082633,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7291433869876485, 'learning_rate': 0.01901022728925172, 'min_child_samples': 245, 'num_leaves': 37, 'reg_alpha': 0.31336398850716296, 'reg_lambda': 0.915030568383668, 'subsample_for_bin': 20000, 'subsample': 0.6116569514382109}",48,494,104.35924878500009
0.26083079321882074,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8763735100048802, 'learning_rate': 0.015230772088984733, 'min_child_samples': 70, 'num_leaves': 48, 'reg_alpha': 0.3813012326195865, 'reg_lambda': 0.2824334832724996, 'subsample_for_bin': 40000, 'subsample': 0.8046381963279958}",49,284,152.47962847200006
0.23950766875826512,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6024922849004694, 'learning_rate': 0.011949146807168534, 'min_child_samples': 450, 'num_leaves': 31, 'reg_alpha': 0.45152890795401607, 'reg_lambda': 0.13853687881119225, 'subsample_for_bin': 240000, 'subsample': 0.6049247919776259}",50,261,75.91276982799991
0.23631445144011254,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6000495784245876, 'learning_rate': 0.01729121305993177, 'min_child_samples': 220, 'num_leaves': 74, 'reg_alpha': 0.6543829008258466, 'reg_lambda': 0.5525394698723762, 'subsample_for_bin': 60000, 'subsample': 0.6203006216195972}",51,670,106.6785229699999
0.2373893225874133,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7945103065318854, 'learning_rate': 0.07809804763986931, 'min_child_samples': 260, 'num_leaves': 56, 'reg_alpha': 0.8357051418817742, 'reg_lambda': 0.9610695843425161, 'subsample_for_bin': 20000, 'subsample': 0.7974175897894115}",52,112,104.35546320100002
0.2423020255353906,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7651549040226404, 'learning_rate': 0.020735318515608673, 'min_child_samples': 165, 'num_leaves': 61, 'reg_alpha': 0.5434482678827772, 'reg_lambda': 0.6747826408989412, 'subsample_for_bin': 160000, 'subsample': 0.5013287686412337}",53,380,117.93278451900005
0.24551902522174618,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7477057332508847, 'learning_rate': 0.01033032193477212, 'min_child_samples': 115, 'num_leaves': 62, 'reg_alpha': 0.23164878129572386, 'reg_lambda': 0.45842407735482127, 'subsample_for_bin': 40000, 'subsample': 0.5650522500085781}",54,447,136.1503604919999
0.2405577467712956,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8296465580709828, 'learning_rate': 0.01303847916611181, 'min_child_samples': 335, 'num_leaves': 46, 'reg_alpha': 0.3532570858393743, 'reg_lambda': 0.37821498113587093, 'subsample_for_bin': 80000, 'subsample': 0.6450966494059684}",55,786,90.40971968099984
0.24376352626747066,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6836440632152935, 'learning_rate': 0.036421595124557275, 'min_child_samples': 395, 'num_leaves': 86, 'reg_alpha': 0.034351000425205475, 'reg_lambda': 0.8807957160543177, 'subsample_for_bin': 300000, 'subsample': 1.0}",56,27,8.764389965999726
0.26276429296948633,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.9960279091595324, 'learning_rate': 0.016665400181522915, 'min_child_samples': 95, 'num_leaves': 76, 'reg_alpha': 0.16422565038225287, 'reg_lambda': 0.7470559219716489, 'subsample_for_bin': 280000, 'subsample': 0.84732949036274}",57,191,149.0838210789998
0.23841167595022106,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6676199053865483, 'learning_rate': 0.024498430851189218, 'min_child_samples': 215, 'num_leaves': 34, 'reg_alpha': 0.7318754196414785, 'reg_lambda': 0.5962278471024784, 'subsample_for_bin': 40000, 'subsample': 0.6730292869094713}",58,297,111.75340576500002
0.2691520844516566,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.9245631803059012, 'learning_rate': 0.0204422778753765, 'min_child_samples': 45, 'num_leaves': 132, 'reg_alpha': 0.6023459232032946, 'reg_lambda': 0.960978893600411, 'subsample_for_bin': 120000, 'subsample': 0.5591056350423154}",59,233,177.78489620599976
0.24321728409134113,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8389212710893407, 'learning_rate': 0.028095298661847807, 'min_child_samples': 295, 'num_leaves': 70, 'reg_alpha': 0.28128337063764736, 'reg_lambda': 0.42111463728532694, 'subsample_for_bin': 20000, 'subsample': 1.0}",60,35,9.617649564999738
0.24042944970592883,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7183210181278741, 'learning_rate': 0.034363073838165996, 'min_child_samples': 190, 'num_leaves': 50, 'reg_alpha': 0.49415408954655937, 'reg_lambda': 0.8449504086541202, 'subsample_for_bin': 180000, 'subsample': 0.7446065813269077}",61,113,119.06373400299981
0.2412187195165233,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6326422357687043, 'learning_rate': 0.013862491277632389, 'min_child_samples': 150, 'num_leaves': 40, 'reg_alpha': 0.39868523940968925, 'reg_lambda': 0.7795973647313668, 'subsample_for_bin': 60000, 'subsample': 1.0}",62,69,10.160502494999491
0.23340724012953507,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6155426825769837, 'learning_rate': 0.03990965675930782, 'min_child_samples': 270, 'num_leaves': 105, 'reg_alpha': 0.9186132315457172, 'reg_lambda': 0.030043087746579045, 'subsample_for_bin': 200000, 'subsample': 0.9487982599581827}",63,296,99.51165300100001
0.23702545717575785,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7799757787957105, 'learning_rate': 0.10831328062198356, 'min_child_samples': 265, 'num_leaves': 116, 'reg_alpha': 0.9106517334898391, 'reg_lambda': 0.011241052031864873, 'subsample_for_bin': 200000, 'subsample': 0.9515724616729312}",64,115,102.37270870500015
0.2458041328796161,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7058099429335123, 'learning_rate': 0.054781219321028564, 'min_child_samples': 420, 'num_leaves': 108, 'reg_alpha': 0.9574800422243687, 'reg_lambda': 0.07473151515100629, 'subsample_for_bin': 220000, 'subsample': 1.0}",65,17,8.716124028000195
0.23664697623534925,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6444649079559663, 'learning_rate': 0.03932314083962492, 'min_child_samples': 235, 'num_leaves': 94, 'reg_alpha': 0.9987338847031785, 'reg_lambda': 0.1534663633370793, 'subsample_for_bin': 240000, 'subsample': 0.8409930270396693}",66,341,109.36862031200053
0.24544390628187118,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6157879420883989, 'learning_rate': 0.14565732365281836, 'min_child_samples': 330, 'num_leaves': 106, 'reg_alpha': 0.321752253475327, 'reg_lambda': 0.044281270118481424, 'subsample_for_bin': 260000, 'subsample': 0.5793289911317379}",67,250,94.38302579300034
0.23995513269560076,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6139246192815772, 'learning_rate': 0.09285812128155611, 'min_child_samples': 360, 'num_leaves': 84, 'reg_alpha': 0.4619912519709187, 'reg_lambda': 0.7043108034918287, 'subsample_for_bin': 220000, 'subsample': 0.6677128525206623}",68,150,87.93847698399986
0.24022024145464638,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6591962359687642, 'learning_rate': 0.07171055749349275, 'min_child_samples': 245, 'num_leaves': 122, 'reg_alpha': 0.1896431433458835, 'reg_lambda': 0.8883800269544846, 'subsample_for_bin': 200000, 'subsample': 0.9957741701542274}",69,42,111.52359274599985
0.23919442463063234,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6921203855753281, 'learning_rate': 0.058196429509408135, 'min_child_samples': 185, 'num_leaves': 113, 'reg_alpha': 0.8138388458266307, 'reg_lambda': 0.32163209498026085, 'subsample_for_bin': 160000, 'subsample': 0.9415472384139801}",70,110,118.11172747100045
0.23762363318804602,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6383257313800006, 'learning_rate': 0.050029752106181054, 'min_child_samples': 305, 'num_leaves': 79, 'reg_alpha': 0.5960937385240695, 'reg_lambda': 0.8067167026362976, 'subsample_for_bin': 180000, 'subsample': 0.7221424333376856}",71,167,96.55830189000062
0.238690320087789,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6762342941279667, 'learning_rate': 0.010956445489588256, 'min_child_samples': 300, 'num_leaves': 103, 'reg_alpha': 0.13473656237170678, 'reg_lambda': 0.18288200380847885, 'subsample_for_bin': 280000, 'subsample': 0.7858053298477119}",72,565,93.5613017200003
0.23666494589268738,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6008111248209312, 'learning_rate': 0.02808152576563576, 'min_child_samples': 270, 'num_leaves': 134, 'reg_alpha': 0.5129231599891926, 'reg_lambda': 0.6620351266282655, 'subsample_for_bin': 260000, 'subsample': 0.8712306943178162}",73,139,98.01056315099959
